"";"SetPointId";"ServingTeamName";"ReceivingTeamName";"WinningTeamServingCode";"ServingRotation";"ReceivingRotation";"ServingPlayerId";"GameStageDetail";"RatingService";"MarkovCoefLastTouchSideout";"M1_A_S";"M2_A_S";"M3_A_S"
"4827";"S129213_1H6V7";"Ceske Budejovice";"Praha";"R";2;3;4450;"RegularGame";36,9394145177665;1;0;-36,9394145177665;-36,9394145177665
"4828";"S129213_1H6V8";"Praha";"Ceske Budejovice";"R";2;2;4523;"RegularGame";32,8783827433628;0,2025275;0;-32,8783827433628;46,8688672566372
"4829";"S129213_1H7V8";"Ceske Budejovice";"Praha";"R";1;2;4473;"RegularGame";37,1341118122977;0,6467072;0;-37,1341118122977;-1,8048318122977
"4830";"S129213_1H7V9";"Praha";"Ceske Budejovice";"R";1;1;4459;"RegularGame";34,3381759268929;1;0;-34,3381759268929;-34,3381759268929
"4831";"S129213_1H8V9";"Ceske Budejovice";"Praha";"S";6;1;4431;"RegularGame";38,4911839726027;0,3687095;100;61,5088160273973;24,6378660273973
"4832";"S129213_1H9V9";"Ceske Budejovice";"Praha";"S";6;1;4431;"RegularGame";38,4911839726027;0,492644;100;61,5088160273973;12,2444160273973
"4833";"S129213_1H11V10";"Ceske Budejovice";"Praha";"S";5;6;4433;"RegularGame";35,5975274025974;0;100;64,4024725974026;64,4024725974026
"4834";"S129213_1H12V10";"Ceske Budejovice";"Praha";"S";5;6;4433;"RegularGame";35,5975274025974;0;100;64,4024725974026;64,4024725974026
"4835";"S129213_1H13V10";"Ceske Budejovice";"Praha";"R";5;6;4433;"RegularGame";35,5975274025974;1;0;-35,5975274025974;-35,5975274025974
"4836";"S129213_1H13V11";"Praha";"Ceske Budejovice";"R";5;5;4355;"RegularGame";33,3609808196721;1;0;-33,3609808196721;-33,3609808196721
"4837";"S129213_1H14V11";"Ceske Budejovice";"Praha";"R";4;5;4432;"RegularGame";34,4074596598639;1;0;-34,4074596598639;-34,4074596598639
"4838";"S129213_1H14V12";"Praha";"Ceske Budejovice";"S";4;4;4525;"RegularGame";38,5759974166667;0;100;61,4240025833333;61,4240025833333
"4839";"S129213_1H15V13";"Ceske Budejovice";"Praha";"R";3;4;4350;"RegularGame";27,9581675268817;1;0;-27,9581675268817;-27,9581675268817
"4840";"S129213_1H16V14";"Ceske Budejovice";"Praha";"S";2;3;4450;"RegularGame";36,9394145177665;0,2151261;100;63,0605854822335;41,5479754822335
"4841";"S129213_1H17V14";"Ceske Budejovice";"Praha";"R";2;3;4450;"RegularGame";36,9394145177665;1;0;-36,9394145177665;-36,9394145177665
"4842";"S129213_1H17V15";"Praha";"Ceske Budejovice";"S";2;2;4379;"RegularGame";32,6810371698113;0;100;67,3189628301887;67,3189628301887
"4843";"S129213_1H17V16";"Praha";"Ceske Budejovice";"R";2;2;4379;"RegularGame";32,6810371698113;0,4140952;0;-32,6810371698113;25,9094428301887
"4844";"S129213_1H18V16";"Ceske Budejovice";"Praha";"R";1;2;4473;"RegularGame";37,1341118122977;0,4850044;0;-37,1341118122977;14,3654481877023
"4845";"S129213_1H18V17";"Praha";"Ceske Budejovice";"R";1;1;4459;"RegularGame";34,3381759268929;1;0;-34,3381759268929;-34,3381759268929
"4846";"S129213_1H19V17";"Ceske Budejovice";"Praha";"R";6;1;4431;"RegularGame";38,4911839726027;1;0;-38,4911839726027;-38,4911839726027
"4847";"S129213_1H19V18";"Praha";"Ceske Budejovice";"R";6;6;4311;"RegularGame";31,5676785534591;1;0;-31,5676785534591;-31,5676785534591
"4848";"S129213_1H20V18";"Ceske Budejovice";"Praha";"S";5;6;4433;"LosingInTightEndgame";35,5975274025974;0,2142572;100;64,4024725974026;42,9767525974026
"4849";"S129213_1H21V18";"Ceske Budejovice";"Praha";"S";5;6;4433;"LosingInTightEndgame";35,5975274025974;0;100;64,4024725974026;64,4024725974026
