"";"SetPointId";"ServingTeamName";"ReceivingTeamName";"WinningTeamServingCode";"ServingRotation";"ReceivingRotation";"ServingPlayerId";"GameStageDetail";"RatingService";"MarkovCoefLastTouchSideout"
"6570";"S129218_2H5V7";"Beskydy";"Ceske Budejovice";"R";3;4;4539;"RegularGame";31,345942293578;NA
"6571";"S129218_2H5V8";"Ceske Budejovice";"Beskydy";"R";3;3;4516;"RegularGame";34,4600513422819;NA
"6572";"S129218_2H6V9";"Ceske Budejovice";"Beskydy";"R";2;2;4472;"RegularGame";33,3739872027972;NA
"6573";"S129218_2H7V9";"Beskydy";"Ceske Budejovice";"S";1;2;4494;"RegularGame";29,5360655084746;0,4164149
"6574";"S129218_2H8V9";"Beskydy";"Ceske Budejovice";"R";1;2;4494;"RegularGame";29,5360655084746;NA
"6575";"S129218_2H8V10";"Ceske Budejovice";"Beskydy";"R";1;1;4473;"RegularGame";37,1341118122977;1
"6576";"S129218_2H9V10";"Beskydy";"Ceske Budejovice";"R";6;1;4538;"RegularGame";32,6362573151751;NA
"6577";"S129218_2H9V11";"Ceske Budejovice";"Beskydy";"R";6;6;4431;"RegularGame";38,4911839726027;NA
"6578";"S129218_2H11V12";"Ceske Budejovice";"Beskydy";"R";5;5;4433;"RegularGame";35,5975274025974;1
"6579";"S129218_2H12V12";"Beskydy";"Ceske Budejovice";"S";4;5;4490;"RegularGame";36,1858059302325;0
"6580";"S129218_2H13V12";"Beskydy";"Ceske Budejovice";"S";4;5;4490;"RegularGame";36,1858059302325;0
"6581";"S129218_2H14V12";"Beskydy";"Ceske Budejovice";"R";4;5;4490;"RegularGame";36,1858059302325;1
"6582";"S129218_2H14V13";"Ceske Budejovice";"Beskydy";"S";4;4;4467;"RegularGame";38,0583704907975;0
"6583";"S129218_2H14V14";"Ceske Budejovice";"Beskydy";"S";4;4;4467;"RegularGame";38,0583704907975;0
"6584";"S129218_2H14V15";"Ceske Budejovice";"Beskydy";"R";4;4;4467;"RegularGame";38,0583704907975;NA
"6585";"S129218_2H15V15";"Beskydy";"Ceske Budejovice";"R";3;4;4539;"RegularGame";31,345942293578;NA
"6586";"S129218_2H15V16";"Ceske Budejovice";"Beskydy";"R";3;3;4516;"RegularGame";34,4600513422819;NA
"6587";"S129218_2H21V17";"Ceske Budejovice";"Beskydy";"S";2;2;4472;"RegularGame";33,3739872027972;0,347362
"6588";"S129218_2H22V22";"Beskydy";"Ceske Budejovice";"R";1;2;4494;"BalancedTightEndgame";29,5360655084746;1
"6589";"S129218_2H22V23";"Ceske Budejovice";"Beskydy";"S";1;1;4473;"LosingInTightEndgame";37,1341118122977;0
"6590";"S129218_2H22V24";"Ceske Budejovice";"Beskydy";"S";1;1;4473;"LeadingInTightEndgame";37,1341118122977;0,4157516
"6591";"S129218_3H0V0";"Ceske Budejovice";"Beskydy";"R";6;1;4431;"RegularGame";38,4911839726027;1
"6592";"S129218_3H1V0";"Beskydy";"Ceske Budejovice";"S";6;6;4538;"RegularGame";32,6362573151751;0,3694937
"6593";"S129218_3H2V0";"Beskydy";"Ceske Budejovice";"R";6;6;4538;"RegularGame";32,6362573151751;NA
